Sektor,Saham_Y,Saham_X,Test_Statistic,P_Value
barang_konsumsi_non_primer,PZZA,TMPO,-6.113002016547003,9.22456094411576e-07
barang_konsumsi_non_primer,TELE,KPIG,-6.091615138460045,1.0272326710178295e-06
barang_konsumsi_non_primer,GDYR,PZZA,-6.089604362878455,1.0376611257192033e-06
barang_konsumsi_non_primer,TELE,MICE,-6.0258559618919945,1.4275005552263864e-06
barang_konsumsi_non_primer,GDYR,RALS,-5.88183217729914,2.9072320858139183e-06
barang_konsumsi_non_primer,HRME,POLY,-5.7680511884299746,5.051222657628577e-06
barang_konsumsi_non_primer,GDYR,KPIG,-5.738395281386096,5.825203781184125e-06
barang_konsumsi_non_primer,HRME,HRTA,-5.734621571521071,5.931590205138534e-06
barang_konsumsi_non_primer,GDYR,JIHD,-5.722657234629873,6.281494322061282e-06
barang_konsumsi_non_primer,JIHD,TFCO,-5.714186983232176,6.541233085997363e-06
barang_konsumsi_non_primer,HRME,EAST,-5.71077286659845,6.648846205685988e-06
barang_konsumsi_non_primer,HRME,SMSM,-5.70854676285411,6.719935809399363e-06
barang_konsumsi_primer,SKBM,MGRO,-6.524798320880485,1.1047263985081135e-07
barang_konsumsi_primer,SKBM,SIPD,-6.478895257854761,1.4059472705248686e-07
barang_konsumsi_primer,DLTA,ITIC,-6.307337851540727,3.428143466193152e-07
barang_konsumsi_primer,SKBM,DSFI,-6.242810246087731,4.773574683125782e-07
barang_konsumsi_primer,SKBM,LSIP,-6.075444299248588,1.1140821368969967e-06
barang_konsumsi_primer,SKBM,WAPO,-6.066238082164461,1.16668530413213e-06
barang_konsumsi_primer,WICO,BUDI,-6.020511855684507,1.4660186538309554e-06
barang_konsumsi_primer,SKBM,SIMP,-5.970947995022523,1.8750589552568339e-06
barang_konsumsi_primer,SKBM,RANC,-5.881215523737957,2.9160162288563974e-06
barang_konsumsi_primer,SKBM,PSGO,-5.869903987810692,3.081804264769845e-06
barang_konsumsi_primer,WICO,COCO,-5.805626259441118,4.212877138206405e-06
barang_konsumsi_primer,SKBM,HERO,-5.779113207791141,4.78889683479516e-06
barang_konsumsi_primer,SKBM,STTP,-5.728597489563264,6.105335959081648e-06
barang_konsumsi_primer,SKBM,GOOD,-5.579939256421705,1.234977895876583e-05
barang_konsumsi_primer,WICO,HMSP,-5.553193967890207,1.399530247882605e-05
barang_konsumsi_primer,SKBM,UNSP,-5.514057293373017,1.6790702563208823e-05
barang_konsumsi_primer,SKBM,BEEF,-5.512051045014393,1.6947669933035393e-05
barang_konsumsi_primer,WICO,GGRM,-5.4970753512534,1.816496867311349e-05
barang_konsumsi_primer,SKBM,JPFA,-5.430121354293793,2.4719361647248432e-05
barang_konsumsi_primer,SKBM,SMAR,-5.429462147429967,2.4794046847648038e-05
energi,WOWS,BOSS,-6.561265676394652,9.114516809316075e-08
energi,WOWS,MYOH,-6.384810267750936,2.2967075327465797e-07
energi,WOWS,RUIS,-6.325919664277479,3.115060109850315e-07
energi,WOWS,SHIP,-6.227498016915908,5.161943604161494e-07
energi,WOWS,ABMM,-6.1832543251804095,6.466020390746186e-07
energi,WOWS,MEDC,-6.0972889863106925,9.983550281323224e-07
energi,WOWS,AKRA,-6.051179700432831,1.2579942509005813e-06
energi,WOWS,BSSR,-6.028332748298409,1.4099853090116385e-06
energi,WOWS,WINS,-6.013877502521843,1.5152482095961936e-06
energi,WOWS,GTBO,-6.013031890629509,1.5216376479189647e-06
energi,WOWS,FIRE,-6.00039130591253,1.6203395206189092e-06
energi,WOWS,ITMG,-5.9775235729062395,1.8149901736362215e-06
energi,WOWS,ADRO,-5.953766047147987,2.041307795762769e-06
energi,WOWS,PTBA,-5.952823514855525,2.050831509319707e-06
energi,WOWS,ELSA,-5.952823208123645,2.050834615691395e-06
energi,WOWS,KKGI,-5.949879350509312,2.0808600651610508e-06
energi,WOWS,ITMA,-5.946591132030294,2.1149040562880884e-06
energi,WOWS,SOCI,-5.940232789618848,2.1822793721882497e-06
energi,WOWS,MBSS,-5.934644535541211,2.243216850614139e-06
energi,WOWS,RAJA,-5.902909063912207,2.6219977098855807e-06
industrial,SOSS,SKRN,-5.157578878997326,8.362211002625301e-05
industrial,SOSS,KOIN,-5.155851314374515,8.425482447499328e-05
industrial,SOSS,IKBI,-5.09661827003008,0.00010894310217572939
industrial,APII,SPTO,-5.001724939850075,0.00016344447158488833
industrial,KBLI,UNTR,-4.949740716402832,0.0002034625182081685
industrial,KBLI,MFMI,-4.70271822215481,0.0005578278919056159
industrial,SPTO,CCSI,-4.696384950989328,0.0005720308357490671
industrial,SPTO,MLIA,-4.683251893284944,0.0006025756925396262
industrial,ARKA,ASII,-4.6706739050946835,0.0006332639599861986
industrial,SPTO,AMFG,-4.585410884420811,0.0008833949591983845
industrial,APII,KBLM,-4.546746188595434,0.0010250506860481773
industrial,SPTO,MFMI,-4.5242585109145885,0.001116941859637982
industrial,SPTO,HEXA,-4.522548355115914,0.0011242361831490678
industrial,APII,ARKA,-4.518536075762497,0.0011415248665229102
industrial,SPTO,KOBX,-4.517031622411034,0.0011480712708367008
industrial,SPTO,BLUE,-4.516970332357762,0.0011483387075195955
industrial,KBLI,CCSI,-4.509517541793889,0.001181296010137108
industrial,SPTO,IMPC,-4.4882611685264955,0.0012802118751070479
industrial,APII,BLUE,-4.45550738637209,0.0014478635878537518
industrial,APII,SCCO,-4.443185398144722,0.0015160663642373958
infrastruktur,MTRA,JAST,-13.753526918230131,1.00159069705957e-24
infrastruktur,TOPS,KEEN,-12.961067735663317,3.3645656182225485e-23
infrastruktur,TOPS,TLKM,-12.89461778600219,4.5955713789294875e-23
infrastruktur,TOPS,IPCC,-12.786725325500075,7.664915736585975e-23
infrastruktur,TOPS,CMNP,-12.56590773875926,2.227770486278964e-22
infrastruktur,TOPS,LINK,-12.429869082196808,4.35450273090603e-22
infrastruktur,TOPS,BALI,-12.206495731047916,1.3357778900980616e-21
infrastruktur,TOPS,PORT,-12.123767792844031,2.0357287798595527e-21
infrastruktur,TOPS,MPOW,-12.043358172599087,3.075594876541183e-21
infrastruktur,TOPS,KARW,-11.950532835048486,4.9708203636071434e-21
infrastruktur,TOPS,OASA,-11.73720765676509,1.5202849216311333e-20
infrastruktur,TOPS,CENT,-11.143726309624908,3.7574912734417924e-19
infrastruktur,TOPS,ADHI,-11.073662845030272,5.534062949896041e-19
infrastruktur,TOPS,PPRE,-10.870329156413819,1.7177108479205512e-18
infrastruktur,TOPS,ISAT,-10.66175383264265,5.561036601562499e-18
infrastruktur,TOPS,GOLD,-10.527810669726845,1.1899463425705031e-17
infrastruktur,TOPS,GHON,-9.978743322199449,2.807539342185784e-16
infrastruktur,TOPS,PTPP,-9.80772182158637,7.599402410328821e-16
infrastruktur,TOPS,TBIG,-9.642714473377284,1.9935477133617223e-15
infrastruktur,TOPS,WIKA,-9.37182553393749,9.767107430211124e-15
kesehatan,MIKA,PRIM,-4.449123833285143,0.0014828319024444614
kesehatan,MIKA,MERK,-4.02755807499583,0.006557515075108914
kesehatan,MIKA,KLBF,-3.983883789177954,0.00757045630815344
kesehatan,MIKA,HEAL,-3.8846665778664606,0.010413263452089157
kesehatan,KAEF,INAF,-3.637394314037295,0.022008446989591545
kesehatan,MIKA,SRAJ,-3.5067479429437265,0.03180186828709635
kesehatan,MIKA,SILO,-3.4506752519618833,0.03702564290180488
kesehatan,MIKA,PEHA,-3.402311986022876,0.04209432758917867
kesehatan,MIKA,DVLA,-3.3368269470603917,0.049867523892159135
keuangan,JMAS,BBRI,-7.208656732715308,2.7114390817895845e-09
keuangan,BGTG,ARTO,-7.190733327757583,2.995456542217007e-09
keuangan,JMAS,BBNI,-7.167221184261545,3.4130203909046715e-09
keuangan,JMAS,BMRI,-7.001196789113504,8.525956167699402e-09
keuangan,TRUS,APIC,-6.977894532069002,9.686574146305591e-09
keuangan,JMAS,MCOR,-6.878132129479659,1.66862598410383e-08
keuangan,JMAS,BTPN,-6.84525405277265,1.994317684239634e-08
keuangan,JMAS,BBCA,-6.816646176309291,2.328118412064599e-08
keuangan,JMAS,BBKP,-6.801209732770745,2.530495829091337e-08
keuangan,JMAS,BACA,-6.796897023437901,2.5900684891767305e-08
keuangan,JMAS,BNLI,-6.765196200839531,3.0724263653795826e-08
keuangan,JMAS,NISP,-6.758507433074881,3.1849737212482804e-08
keuangan,JMAS,NICK,-6.706360655128118,4.2131747175742513e-08
keuangan,JMAS,AGRS,-6.658340009881013,5.4451554508864546e-08
keuangan,JMAS,BKSW,-6.656052905904405,5.511935797567821e-08
keuangan,JMAS,LPPS,-6.649622969888103,5.704025119708961e-08
keuangan,JMAS,BNGA,-6.6324867791728535,6.24867768892059e-08
keuangan,JMAS,SFAN,-6.604302569952134,7.25764051766416e-08
keuangan,JMAS,CFIN,-6.602158766816934,7.340628963903496e-08
keuangan,JMAS,DNAR,-6.5921690849407755,7.739796909395842e-08
properti,NZIA,PAMG,-7.465253259436897,6.43518225378977e-10
properti,NZIA,LPCK,-6.784785951344998,2.764844659131971e-08
properti,KIJA,PAMG,-6.198233879874373,5.992002259595273e-07
properti,NZIA,JRPT,-6.121182241201728,8.852036787623542e-07
properti,NZIA,CTRA,-5.991871274771692,1.6903589094736037e-06
properti,NZIA,PANI,-5.9734009951716756,1.8524273320767042e-06
properti,NZIA,SATU,-5.9726531753366325,1.8592984410802615e-06
properti,NZIA,BAPA,-5.85900060301524,3.2502693063996757e-06
properti,NZIA,RISE,-5.842677488458785,3.5193287796972667e-06
properti,NZIA,CITY,-5.820080942687812,3.927800924747478e-06
properti,NZIA,RDTX,-5.8006345199369,4.3159175779432595e-06
properti,NZIA,SMDM,-5.653010349655273,8.752116328420672e-06
properti,NZIA,BSDE,-5.428436911568401,2.4910633992145587e-05
properti,NZIA,ASRI,-5.409875071762681,2.711513683767638e-05
properti,NZIA,APLN,-5.387732868626946,2.9991254792176145e-05
properti,NZIA,POLI,-5.306241108620133,4.332431333906873e-05
properti,NZIA,MMLP,-5.279763528987815,4.8769913001089275e-05
properti,PWON,CITY,-5.167425982628124,8.010161433495622e-05
properti,NZIA,PWON,-5.083206920671015,0.00011542381010558515
properti,NZIA,LPKR,-5.007914081288482,0.00015921347893290048
teknologi,SKYB,KIOS,-15.005002224586232,9.156219240169963e-27
teknologi,SKYB,ATIC,-13.966259199956324,4.173729731587813e-25
teknologi,SKYB,DIVA,-13.531687859098895,2.5754228751031184e-24
teknologi,SKYB,GLVA,-12.630761877802737,1.6240357416709883e-22
teknologi,SKYB,MTDL,-12.016448773996308,3.5334152599949005e-21
teknologi,SKYB,DMMX,-11.896917130584029,6.570983727657931e-21
teknologi,SKYB,NFCX,-11.807999190695753,1.0467839504065906e-20
teknologi,SKYB,EMTK,-10.673807207375972,5.194297411855397e-18
teknologi,SKYB,PTSN,-10.217901199471314,7.032215968430867e-17
teknologi,SKYB,MCAS,-10.215652007651691,7.124016542723536e-17
teknologi,SKYB,MLPT,-7.30718508228499,1.5649050497723622e-09
teknologi,SKYB,HDIT,-6.155916480054987,7.427363192837459e-07
teknologi,ATIC,HDIT,-5.371492980046028,3.228522607628244e-05
teknologi,ATIC,DIVA,-4.962125517019541,0.00019315898894953543
teknologi,ATIC,GLVA,-4.758450749434205,0.0004464072169022549
teknologi,KREN,HDIT,-4.706634629831792,0.0005492119847630971
teknologi,KREN,DIVA,-4.601112022899627,0.0008312894724359279
teknologi,SKYB,KREN,-4.592408509150382,0.00085980550669891
teknologi,KREN,KIOS,-4.578548564981996,0.0009071164234590389
teknologi,KREN,NFCX,-4.37611805762392,0.0019427020121206605
transportasi_dan_logistik,AKSI,HELI,-5.658900432942716,8.511131716816348e-06
transportasi_dan_logistik,LRNA,JAYA,-4.520224673180803,0.001134218738338648
transportasi_dan_logistik,LRNA,WEHA,-4.498647595162705,0.0012309512106995915
transportasi_dan_logistik,IMJS,ASSA,-4.4011408313167015,0.0017719431152407442
transportasi_dan_logistik,LRNA,BIRD,-4.291578739280116,0.0026389101589965654
transportasi_dan_logistik,BPTR,WEHA,-4.194741065194998,0.003715332292179191
transportasi_dan_logistik,LRNA,NELY,-4.17607655878355,0.003964254517687843
transportasi_dan_logistik,IMJS,JAYA,-4.165627844352043,0.004110181398735309
transportasi_dan_logistik,LRNA,BPTR,-4.128282048102581,0.004672811421457981
transportasi_dan_logistik,LRNA,IMJS,-4.104881448153418,0.005060270173269166
transportasi_dan_logistik,LRNA,SMDR,-4.037674122691707,0.006341122291330398
transportasi_dan_logistik,LRNA,TMAS,-4.017780660826988,0.006772990644681503
transportasi_dan_logistik,BIRD,NELY,-3.9611246906817588,0.008152388494218224
transportasi_dan_logistik,LRNA,ASSA,-3.940739362937604,0.00870745306978477
transportasi_dan_logistik,TNCA,ASSA,-3.9201449632991596,0.009302427843497735
transportasi_dan_logistik,AKSI,TRUK,-3.865251567166492,0.011070022577085455
transportasi_dan_logistik,BIRD,TMAS,-3.8627450721127796,0.011157446924501761
transportasi_dan_logistik,LRNA,TNCA,-3.7847717938718595,0.014202693739249112
transportasi_dan_logistik,LRNA,HELI,-3.7595138110884436,0.015335789495121509
transportasi_dan_logistik,SAFE,WEHA,-3.7358076910257707,0.01647092847678532
